Ref,Val,Package,PosX,PosY,Rot,Side
"C25","22nF","C_0603_1608Metric",89.000000,-100.225000,90.000000,bottom
"C26","22nF","C_0603_1608Metric",86.500000,-98.000000,-90.000000,bottom
"C27","22nF","C_0603_1608Metric",90.000000,-96.725000,-90.000000,bottom
"C28","22nF","C_0603_1608Metric",88.000000,-96.725000,-90.000000,bottom
"C29","22nF","C_0603_1608Metric",84.500000,-95.500000,-90.000000,bottom
"C30","22nF","C_0603_1608Metric",94.000000,-95.225000,-90.000000,bottom
"C31","22nF","C_0603_1608Metric",87.000000,-93.500000,180.000000,bottom
"C33","22nF","C_0603_1608Metric",100.000000,-95.225000,-90.000000,bottom
"C35","22nF","C_0603_1608Metric",55.500000,-96.725000,90.000000,bottom
"C49","22nF","C_0603_1608Metric",78.500000,-90.275000,-90.000000,bottom
"C50","22nF","C_0603_1608Metric",99.000000,-89.775000,90.000000,bottom
"C51","22nF","C_0603_1608Metric",94.000000,-107.000000,0.000000,bottom
"C52","22nF","C_0603_1608Metric",85.500000,-81.225000,-90.000000,bottom
"C53","22nF","C_0603_1608Metric",90.925070,-94.349930,0.000000,bottom
"R27","10k","R_0603_1608Metric",62.500000,-110.825000,90.000000,bottom
"R31","15k","R_0603_1608Metric",85.000000,-107.175000,90.000000,bottom
"R32","15k","R_0603_1608Metric",82.000000,-107.175000,90.000000,bottom
"R33","15k","R_0603_1608Metric",87.000000,-104.175000,90.000000,bottom
"C1","22uF","C_0805_2012Metric",127.999080,-104.450000,90.000000,top
"C2","100pF","C_0603_1608Metric",115.749080,-104.225000,-90.000000,top
"C3","22uF","C_0805_2012Metric",121.249080,-100.650000,90.000000,top
"C4","22uF","C_0805_2012Metric",118.499080,-100.700000,90.000000,top
"C5","22uF","C_0805_2012Metric",125.649080,-86.800000,0.000000,top
"C6","100pF","C_0603_1608Metric",118.999080,-81.625000,-90.000000,top
"C7","22uF","C_0805_2012Metric",116.799080,-79.600000,90.000000,top
"C8","22uF","C_0805_2012Metric",113.399080,-79.450000,90.000000,top
"C9","22uF","C_0805_2012Metric",124.199080,-90.950000,-90.000000,top
"C10","100pF","C_0603_1608Metric",115.799080,-91.425000,90.000000,top
"C11","22uF","C_0805_2012Metric",121.199080,-96.050000,-90.000000,top
"C12","22uF","C_0805_2012Metric",118.599080,-95.950000,-90.000000,top
"C13","22nF","C_0603_1608Metric",56.761063,-124.963937,90.000000,top
"C14","22nF","C_0603_1608Metric",68.000000,-119.425000,90.000000,top
"C15","22nF","C_0603_1608Metric",77.400000,-124.425000,90.000000,top
"C16","2.2uF","C_0805_2012Metric",89.050000,-61.000000,180.000000,top
"C17","2.2uF","C_0805_2012Metric",111.249080,-104.400000,-90.000000,top
"C18","22nF","C_0603_1608Metric",87.000000,-118.625000,90.000000,top
"C19","2.2uF","C_0805_2012Metric",113.199080,-90.350000,90.000000,top
"C20","2.2uF","C_0805_2012Metric",114.249080,-85.600000,0.000000,top
"C21","22nF","C_0603_1608Metric",98.200000,-124.425000,90.000000,top
"C22","2.2uF","C_0805_2012Metric",115.749080,-100.650000,90.000000,top
"C23","2.2uF","C_0805_2012Metric",115.799080,-95.850000,-90.000000,top
"C24","2.2uF","C_0805_2012Metric",109.999080,-79.550000,90.000000,top
"C32","22nF","C_0603_1608Metric",59.500000,-102.225000,90.000000,top
"C34","22nF","C_0603_1608Metric",66.500000,-88.500000,-90.000000,top
"C36","22nF","C_0603_1608Metric",110.400000,-121.000000,90.000000,top
"C48","22nF","C_0603_1608Metric",54.725000,-100.500000,180.000000,top
"D1","STPS2L40AF","D_SMA",64.175000,-72.900000,0.000000,top
"D2","STPS2L40AF","D_SMA",119.800000,-126.800000,0.000000,top
"D3","YELLOW","LED_0805_2012Metric",53.000000,-91.500000,0.000000,top
"D19","RED","LED_0805_2012Metric",53.000000,-87.500000,0.000000,top
"J1","Conn_01x12_Socket","PinHeader_1x12_P2.54mm_Horizontal",143.500000,-75.560000,0.000000,top
"J4","CONN_02X03","PinHeader_2x03_P2.54mm_Vertical",56.500000,-112.000000,180.000000,top
"L1","2.2uH","L_1008_1210",124.979080,-100.200000,180.000000,top
"L2","2.2uH","L_1008_1210",125.269080,-95.400000,180.000000,top
"L3","2.2uH","L_1008_1210",126.399080,-79.800000,180.000000,top
"R1","549","R_0603_1608Metric",52.000000,-99.325000,90.000000,top
"R9","15k","R_0603_1608Metric",52.000000,-95.675000,90.000000,top
"R11","10k","R_0603_1608Metric",61.000000,-94.675000,-90.000000,top
"R12","10k","R_0603_1608Metric",67.500000,-105.669214,180.000000,top
"R28","10k","R_0603_1608Metric",64.000000,-94.675000,-90.000000,top
"R29","1.1k","R_0603_1608Metric",67.000000,-103.325000,-90.000000,top
"R30","4.7k","R_0603_1608Metric",67.825000,-97.000000,-90.000000,top
"R37","549","R_0603_1608Metric",52.675000,-84.000000,180.000000,top
"R49","27","R_0603_1608Metric",59.500000,-89.000000,0.000000,top
"R50","27","R_0603_1608Metric",58.500000,-93.000000,0.000000,top
"RA1","15k","R_0603_1608Metric",118.499080,-104.275000,-90.000000,top
"RA2","15k","R_0603_1608Metric",118.580782,-91.354275,90.000000,top
"RA3","15k","R_0603_1608Metric",121.599080,-81.375000,-90.000000,top
"RB1","18k","R_0603_1608Metric",120.999080,-105.375000,90.000000,top
"RB2","4.7k","R_0603_1608Metric",121.599080,-89.575000,-90.000000,top
"RB3","3.3k","R_0603_1608Metric",118.599080,-85.225000,90.000000,top
"U1","LFE5U-25F-6BG381C","BGA-381_pitch0.8mm_dia0.4mm",89.100000,-96.800000,0.000000,top
"U2","MT48LC16M16A2TG","TSOP54",89.070000,-73.400000,180.000000,top
"U3","TLV62569DBV","TSOT-25",124.999080,-103.700000,90.000000,top
"U4","TLV62569DBV","TSOT-25",127.099080,-91.950000,-90.000000,top
"U5","TLV62569DBV","TSOT-25",126.249080,-83.900000,0.000000,top
"U6","FT231XQ","FT231X-QFN-20-1EP_4x4mm_P0.5mm_EP2x2mm",55.500000,-97.062500,180.000000,top
"U8","SN74LVC8T245","DBQ24-L",62.750000,-124.000000,90.000000,top
"U9","SN74LVC8T245","DBQ24-L",103.607500,-124.396500,90.000000,top
"U10","IS25LP128F-JBLE","SOA008-150-208mil",63.000000,-101.500000,-90.000000,top
"U11","SN74LVC8T245","DBQ24-L",82.682500,-124.353500,90.000000,top
"U12","SN74LVC8T245","DBQ24-L",73.250000,-118.750000,90.000000,top
"U13","SN74LVC8T245","DBQ24-L",92.357500,-118.646500,90.000000,top
"U14","SN74LVC8T245","DBQ24-L",115.750000,-120.750000,90.000000,top
"US1","MICRO_USB","USB-MICRO-B-FCI-10118192-0001LF",52.000000,-74.200000,-90.000000,top
"Y1","FNETHE025","Crystal_SMD_7050_4Pads",70.800000,-88.460000,-90.000000,top
