Ref,Val,Package,PosX,PosY,Rot,Side
"C25","22nF","C_0603_1608Metric",186.825000,-86.500000,180.000000,bottom
"C27","22nF","C_0603_1608Metric",193.600000,-86.500000,180.000000,bottom
"C28","22nF","C_0603_1608Metric",190.825000,-84.000000,0.000000,bottom
"C29","22nF","C_0603_1608Metric",197.325000,-88.000000,0.000000,bottom
"C30","22nF","C_0603_1608Metric",187.875000,-81.000000,180.000000,bottom
"C31","22nF","C_0603_1608Metric",190.875000,-90.000000,180.000000,bottom
"C49","22nF","C_0603_1608Metric",186.875000,-83.000000,180.000000,bottom
"C50","22nF","C_0603_1608Metric",198.375000,-83.000000,0.000000,bottom
"C51","22nF","C_0603_1608Metric",196.875000,-81.000000,0.000000,bottom
"C53","22nF","C_0603_1608Metric",195.100000,-90.000000,0.000000,bottom
"U7","74AHC1G04","SOT95P280X145-5N",195.746795,-109.950000,90.000000,bottom
"C1","22uF","C_0805_2012Metric",174.200000,-57.500000,-90.000000,top
"C2","100pF","C_0603_1608Metric",185.600000,-59.000000,180.000000,top
"C3","22uF","C_0805_2012Metric",180.500000,-62.800000,-90.000000,top
"C4","22uF","C_0805_2012Metric",183.800000,-62.800000,-90.000000,top
"C5","22uF","C_0805_2012Metric",150.950000,-103.300000,-90.000000,top
"C6","100pF","C_0603_1608Metric",164.900000,-107.725000,90.000000,top
"C7","22uF","C_0805_2012Metric",168.450000,-101.950000,90.000000,top
"C8","22uF","C_0805_2012Metric",162.400000,-103.800000,90.000000,top
"C9","22uF","C_0805_2012Metric",168.250000,-71.100000,-90.000000,top
"C10","100pF","C_0603_1608Metric",177.950000,-71.125000,90.000000,top
"C11","22uF","C_0805_2012Metric",177.300000,-67.200000,90.000000,top
"C12","22uF","C_0805_2012Metric",180.700000,-67.200000,90.000000,top
"C13","22nF","C_0603_1608Metric",184.100000,-104.000000,90.000000,top
"C14","22nF","C_0603_1608Metric",198.100000,-104.000000,90.000000,top
"C15","22nF","C_0603_1608Metric",170.100000,-114.000000,90.000000,top
"C16","2.2uF","C_0805_2012Metric",196.896795,-67.850000,180.000000,top
"C17","2.2uF","C_0805_2012Metric",187.600000,-71.200000,90.000000,top
"C18","22nF","C_0603_1608Metric",184.100000,-114.000000,90.000000,top
"C19","2.2uF","C_0805_2012Metric",185.550000,-74.750000,0.000000,top
"C20","2.2uF","C_0805_2012Metric",168.500000,-109.950000,-90.000000,top
"C21","22nF","C_0603_1608Metric",198.100000,-114.000000,90.000000,top
